mes,producto,unidades_vendidas,ingresos_usd
2015-01,Plan Pro,250,7500
2015-01,Plan Basico,480,4800
2015-01,Plan Enterprise,30,9000
2015-02,Plan Pro,260,7800
2015-02,Plan Basico,470,4700
2015-02,Plan Enterprise,32,9600
2015-03,Plan Pro,280,8400
2015-03,Plan Basico,500,5000
2015-03,Plan Enterprise,35,10500
2015-04,Plan Pro,300,9000
2015-04,Plan Basico,510,5100
2015-04,Plan Enterprise,36,10800
2015-05,Plan Pro,310,9300
2015-05,Plan Basico,520,5200
2015-05,Plan Enterprise,38,11400
2015-06,Plan Pro,330,9900
2015-06,Plan Basico,530,5300
2015-06,Plan Enterprise,40,12000
2015-07,Plan Pro,340,10200
2015-07,Plan Basico,540,5400
2015-07,Plan Enterprise,42,12600
2015-08,Plan Pro,350,10500
2015-08,Plan Basico,550,5500
2015-08,Plan Enterprise,44,13200
2015-09,Plan Pro,370,11100
2015-09,Plan Basico,570,5700
2015-09,Plan Enterprise,46,13800
2015-10,Plan Pro,320,9600
2015-10,Plan Basico,540,5400
2015-10,Plan Enterprise,45,13500
2015-11,Plan Pro,410,12300
2015-11,Plan Basico,610,6100
2015-11,Plan Enterprise,52,15600
2015-12,Plan Pro,780,23400
2015-12,Plan Basico,690,6900
2015-12,Plan Enterprise,60,18000
