categoria,limite_cop,requiere_aprobacion,notas
Alimentación (nacional),80000,No (hasta limite),Maximo 3 comidas diarias. Requiere factura.
Alimentación (internacional),150000,Si — Lider + Finanzas,Maximo 3 comidas diarias. Requiere factura y comprobante de viaje.
Transporte terrestre (nacional),50000,No (hasta limite),"Incluye taxi, bus, metro. No aplica transporte privado tipo Uber Black."
Transporte aéreo (nacional),800000,Si — Lider,Reservar con 7 dias de anticipacion via plataforma corporativa.
Transporte aéreo (internacional),3500000,Si — Director + Finanzas,Reservar con 14 dias de anticipacion. Clase economica obligatoria.
Hospedaje (nacional),350000,Si — Lider,Maximo 4 estrellas. Requiere factura a nombre de NexaDigital S.A.S.
Hospedaje (internacional),1200000,Si — Director + Finanzas,Maximo 4 estrellas. Requiere factura a nombre de NexaDigital S.A.S.
Material de oficina,200000,No (hasta limite),Compras via portal de proveedores aprobados.
Capacitación y certificaciones,2000000,Si — Lider + RRHH,Presupuesto anual por colaborador: $2.000.000 COP.
Software y suscripciones,500000,Si — Lider + TI,Licencias individuales solo con justificacion de uso exclusivo.
Eventos y representación,300000,Si — Lider + Marketing,Incluye cenas de networking. Maximo 6 invitados externos.
Telefonía e internet (remoto),120000,No (hasta limite),Reembolso mensual con factura. Solo para colaboradores 100% remotos.
